"","ObjectID","GlobalID","Form_Version","Team.Name","Region","Incident_UUID","Incident.Number","Type.of.Incident","Incident.Start.Date.and.Time","Number.of.Operational.Periods","Primary.Response.Area","Number.of.Volunteers.Supporting.the.Incident","Total.Volunteer.Hours.on.the.Incident","Total.Volunteer.Mileage","Aircraft.Used","Area.Type","Land.Ownership","Total.Number.of.Subjects","Subject.Category","Subject.1..Age","Subject.1..Gender","Subject.1..Level.of.Fitness","Subject.1..Level.of.Experience","Number.of.Subjects.Found.Alive.and.Well","x","y"
"6",7515,"d6c5467e-0f4e-42b1-9ea0-925f92713e24","2.1.0-MRA","Larimer_County_SAR","Rocky Mountain Region","5ebf7a3e-90fa-4ae3-bb9d-f0015703a820","2019.08.03","SEARCH","8/3/2019 5:05:00 PM",1,"YES",4,6,0,"","URBAN","CITY",1,"OTHER",76,"FEMALE","UNKNOWN","",1,-105.075371041,40.5659849510001
"9",3602,"d3b92c4d-61db-4cc7-8b95-7b334819e604","3.0.0-MRA","Rocky_Mtn_Rescue_Group","Rocky Mountain Region","ed9ea9e5-1916-42d6-94c8-940a6a42ac60","2022019","RESCUE","4/5/2022 5:19:00 PM",1,"YES",9,24,63,"","WILDERNESS","CITY",1,"CLIMBING",35,"MALE","","",0,-105.290123997345,39.9863218027133
"14",4936,"ecd20fd2-a1ea-4af6-b7d5-63282edae972","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","FA0D3653-FAE7-4DE4-90F0-3F95EB3B3F6D","558","SWIFTWATER_RESCUE","6/30/2018 7:30:00 PM",1,"YES",12,54,0,"","WATER","COUNTY",2,"BOATING",28,"MALE","GOOD","POOR",2,-106.45309,39.61017
"72",21106,"e79cbc75-d73c-44f0-8338-9c87bb40da3e","3.0.0-MRA","Larimer_County_SAR","Rocky Mountain Region","4ed72ce2-2e0b-45ec-85b9-c3310d692f66","Search Missing Subject at Horsetooth Mountain Park - Ops 2","RECOVERY","9/18/2022 5:02:00 AM",2,"YES",11,211,330,"","WILDERNESS","COUNTY",1,"HIKING",29,"MALE","GOOD","EXCELLENT",0,-105.18256,40.5227
"86",7114,"a1f36c32-a11d-491b-a124-3e98e7cdcd0d","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","91C9AB9C-2737-46B4-8887-FD1C39994A4C","Muddy pass snowmobiler ","SEARCH","3/9/2019 2:45:00 AM",1,"YES",7,23,0,"","WILDERNESS","NATIONAL_FOREST",3,"SNOWMOBILING",45,"MALE","EXCELLENT","EXCELLENT",3,-106.67757,39.70775
"95",7876,"01cb2d69-11e0-4bef-be0f-85065963ff78","2.1.1-MRA","Park_County_SAR","Rocky Mountain Region","b805b105-7e4d-4924-9034-08c60ed31f6f","Windy on Bross","RESCUE","6/7/2020 6:00:00 AM",1,"YES",1,2,0,"","WILDERNESS","NATIONAL_FOREST",2,"MOUNTAINEERING",17,"FEMALE","POOR","POOR",2,-106.1084,39.3363000000001
"98",1163,"21ec30fb-37d1-41dc-85da-bfa7b1db7487","3.0.0-MRA","Park_County_SAR","Rocky Mountain Region","58ddc4f7-8ea6-43fe-a49a-ad6ec53ee9ae","20210620 Blue Mtn Stranded Climber","RESCUE","6/20/2021 5:41:00 PM",1,"YES",10,5,0,"","WILDERNESS","NATIONAL_FOREST",1,"CLIMBING",13,"FEMALE","UNKNOWN","UNKNOWN",1,-105.42616,38.926
"99",9413,"828415a5-91dc-425b-b193-ecc959828f71","2.2.0-MRA","Park_County_SAR","Rocky Mountain Region","ca479d26-85eb-42a7-8685-b7245ed7a564","LCW Loop","SEARCH","9/6/2020 3:45:00 AM",1,"YES",8,20,150,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"HIKING",75,"MALE","EXCELLENT","FAIR",1,-105.3897,39.2009
"100",9081,"1699e5a2-4be1-4803-abd8-f155aec522da","2.2.0-MRA","Douglas_County_SAR_CO","Rocky Mountain Region","f2f37880-57e1-4b6c-8697-2108ef42d237","2020-031","SEARCH","5/13/2020 2:45:00 AM",1,"YES",17,163,305,"","RURAL","NATIONAL_FOREST",1,"OHV/ATV",34,"MALE","","",0,-105.106999,39.211302
"135",8749,"ef33c8b8-cf5e-4290-9736-ded552826c47","2.2.0-MRA","Fremont_SAR","Rocky Mountain Region","2242f963-741f-454e-a365-b8d5e9141020","06102020_1","RESCUE","6/11/2020 12:00:00 AM",1,"NO",14,42,250,"AIRCRAFT-HELICOPTER","WILDERNESS","BLM",1,"CLIMBING",19,"FEMALE","EXCELLENT","GOOD",0,-105.227989109,38.6293814270001
"154",5145,"f93dfa2d-0cf5-491c-a136-27dcdab7ec19","","Vail_Mtn_Rescue_Group","Rocky Mountain Region","0498FF7F-C755-4F4D-AB5D-776ABA5BD0C0","00431","RESCUE","3/10/2018 10:25:00 PM",1,"YES",8,16,100,"","WILDERNESS","NATIONAL_FOREST",2,"SNOWMOBILING",25,"MALE","GOOD","POOR",2,-106.23993,39.5457000000001
"157",3485,"d0f81e03-53c1-4332-8876-ab6a5e6036f3","3.0.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","23a0d74e-381b-441a-9eca-6e12d654b59c","22P007786 Ute Trail fall","RESCUE","7/15/2022 9:45:00 PM",1,"YES",18,31,40,"","RURAL","NATIONAL_FOREST",1,"HIKING",47,"MALE","FAIR","FAIR",1,-106.81194,39.17778
"164",7801,"1f1cc9e1-bd8c-43a9-add2-f6cd50c2f585","2.1.1-MRA","Park_County_SAR","Rocky Mountain Region","b7c4f373-ecf4-4a94-87e2-898240ec2bbb","Missing 2yom","SEARCH","5/20/2020 6:00:00 AM",1,"YES",8,0,0,"","RURAL","PRIVATE",1,"CHILD_AGE_0-15",2,"MALE","POOR","POOR",1,-106.06082,39.32791
"294",2088,"f7cfafc1-3249-4649-89a1-e918ea715f23","3.0.0-MRA","Fremont_SAR","Rocky Mountain Region","5d9a5513-e65a-4036-9ae4-dc80e918cf77","06292021_1","SEARCH","6/29/2021 3:00:00 PM",1,"NO",4,7,300,"","RURAL","BLM",1,"OTHER",65,"MALE","POOR","POOR",0,-105.055176803589,38.7034961088278
"327",7352,"6fde05c5-54f8-4292-ab85-205eedd63ba1","","Chaffee_County_SAR_North","Rocky Mountain Region","66285B04-F4EC-42FB-8834-A7F5D5029093","005-South Boyfriend","RESCUE","6/6/2019 3:32:00 AM",1,"YES",11,9,96,"","WILDERNESS","BLM",1,"BIKING",29,"MALE","","",0,-106.1,38.84
"331",10672,"407168ab-8691-469a-a832-63295258b8d8","2.2.0-MRA","Mtn_Rescue_Aspen","Rocky Mountain Region","357edb5f-fb0a-4ae9-87ed-584da69db550","21P001020 Snowmass Missing","SEARCH","1/27/2021 11:00:00 PM",2,"YES",29,325,100,"AIRCRAFT-HELICOPTER","WILDERNESS","NATIONAL_FOREST",1,"SNOWBOARDING",32,"MALE","UNKNOWN","UNKNOWN",0,-106.9172,39.1636
"410",7644,"ce6f6f46-5d9f-46e3-9025-3b496159d3c7","2.1.0-MRA","Fremont_SAR","Rocky Mountain Region","9a22c430-7693-45f0-ac53-4a09d69a78fd","2019-40","SEARCH","11/9/2019 2:00:00 PM",1,"NO",6,84,600,"","RURAL","PRIVATE",1,"DIMINISHED_CAPACITY:_OTHER",18,"MALE","FAIR","POOR",0,-105.757840704,39.2272285820001
